p1	p2	system	complexIdent	virIdent	hostIdent	dope_score	virDomPos	virIntPos	hostDomPos	hostIntPos	rms	infection
P0CK30	F1MG16	BHV1-COW	25.882	28.216	17.241	-33097.89453	58.92	61.9	56.9	56.0	1.093	cow_na
P0CK30	F1N709	BHV1-COW	27.353	28.216	20.833	-34214.01562	58.92	61.9	60.0	52.0	1.0576	cow_na
P0CK30	A0A0B4J193	BHV1-COW	26.567	28.216	18.103	-32605.42383	58.92	61.9	54.31	60.0	0.9714	cow_na
P0CK30	E1BFF8	BHV1-COW	24.925	28.216	13.158	-32631.36719	58.92	61.9	57.89	64.0	1.0557	cow_na
P0CK30	E1BKL1	BHV1-COW	26.888	28.216	18.584	-32871.20703	58.92	61.9	55.75	56.0	1.0675	cow_na
P0CK30	E1BK66	BHV1-COW	25.0	28.216	12.844	-33399.46094	58.92	61.9	53.21	56.0	0.976	cow_na
P0CK30	F1MXR4	BHV1-COW	28.235	28.216	22.222	-35771.36328	58.92	61.9	60.32	28.0	0.8267	cow_na
P0CK30	F1MJI2	BHV1-COW	25.294	28.216	15.126	-34368.01172	58.92	61.9	57.14	40.0	0.9742	cow_na
P0CK30	G3N0J5	BHV1-COW	25.836	28.216	14.53	-32131.10156	58.92	61.9	69.23	64.0	0.9376	cow_na
P0CK30	E1BKZ8	BHV1-COW	27.353	28.216	20.161	-34497.80859	58.92	61.9	55.65	48.0	0.9466	cow_na
P0CK30	E1BN29	BHV1-COW	26.176	28.216	17.5	-35482.66797	58.92	61.9	53.33	40.0	0.8598	cow_na
P0CK30	G3N1X5	BHV1-COW	26.22	28.216	16.514	-31892.76562	58.92	61.9	54.13	64.0	1.0187	cow_na
P0CK30	G3MWM3	BHV1-COW	26.14	28.216	16.071	-32061.47461	58.92	61.9	56.25	60.0	1.024	cow_na
P0CK30	E1BMI5	BHV1-COW	24.118	28.216	12.727	-33391.65625	58.92	61.9	49.09	40.0	0.8891	cow_na
P0CK30	E1BGC4	BHV1-COW	25.758	28.216	15.179	-32076.69727	58.92	61.9	50.89	44.0	0.8971	cow_na
P0CK30	G3MY30	BHV1-COW	25.68	28.216	15.315	-31775.05664	58.92	61.9	54.05	60.0	0.9098	cow_na
P0CK30	F1N160	BHV1-COW	27.647	28.216	20.472	-36140.42578	58.92	61.9	67.72	44.0	0.9606	cow_na
P0CK30	E1BI03	BHV1-COW	27.273	28.216	19.643	-32501.50195	58.92	61.9	52.68	52.0	0.8294	cow_na
P0CK30	G3N0F8	BHV1-COW	25.588	28.216	16.522	-33728.12109	58.92	61.9	53.91	44.0	0.9276	cow_na
P0CK30	G3N2T2	BHV1-COW	25.298	28.216	15.044	-31927.16016	58.92	61.9	53.98	68.0	1.3377	cow_na
P0CK30	F1N646	BHV1-COW	27.003	28.216	20.721	-33399.60938	58.92	61.9	57.66	64.0	0.8772	cow_na
P0CK30	G3MYQ8	BHV1-COW	25.152	28.216	13.274	-31960.84766	58.92	61.9	57.52	56.0	0.9201	cow_na
P0CK30	F1MGF4	BHV1-COW	27.647	28.216	22.222	-34872.88672	58.92	61.9	59.83	56.0	0.8659	cow_na
P0CK30	G3MZF3	BHV1-COW	26.471	28.216	19.643	-33529.95312	58.92	61.9	52.68	60.0	0.8513	cow_na
P0CK30	E1BL94	BHV1-COW	26.765	28.216	18.852	-36161.06641	58.92	61.9	59.84	44.0	0.9031	cow_na
P0CK30	F1MC69	BHV1-COW	25.836	28.216	15.179	-32339.79102	58.92	61.9	56.25	48.0	0.985	cow_na
P0CK30	F1MZ44	BHV1-COW	27.941	28.216	22.131	-34445.63672	58.92	61.9	62.3	52.0	0.9534	cow_na
P0CK30	E1BAL3	BHV1-COW	24.118	28.216	12.5	-34848.56641	58.92	61.9	48.21	44.0	0.8503	cow_na
P0CK30	G3MYQ4	BHV1-COW	25.223	28.216	15.179	-32426.61133	58.92	61.9	54.46	68.0	0.9676	cow_na
P0CK30	E1BHN1	BHV1-COW	25.588	28.216	16.102	-35539.50391	58.92	61.9	47.46	40.0	1.0007	cow_na
P0CK30	F1MQ31	BHV1-COW	28.529	28.216	23.387	-35331.00781	58.92	61.9	64.52	60.0	1.0035	cow_na
P0CK30	E1BMM5	BHV1-COW	25.882	28.216	16.949	-35465.75391	58.92	61.9	59.32	44.0	1.0601	cow_na
P0CK30	F1MX97	BHV1-COW	27.941	28.216	22.314	-35442.48047	58.92	61.9	65.29	40.0	0.9451	cow_na
P0CK30	E1BNB8	BHV1-COW	24.699	28.216	12.174	-32738.68359	58.92	61.9	59.13	52.0	0.8591	cow_na
P0CK30	F6PZ08	BHV1-COW	25.294	28.216	14.4	-33917.76562	58.92	61.9	63.2	52.0	1.0432	cow_na
P0CK30	G3X848	BHV1-COW	26.22	28.216	15.652	-32574.73438	58.92	61.9	62.61	60.0	0.8795	cow_na
P0CK30	F1N6Z3	BHV1-COW	25.588	28.216	14.504	-36812.88281	58.92	61.9	61.83	48.0	0.942	cow_na
P0CK30	G3MYW6	BHV1-COW	25.882	28.216	16.26	-34155.18359	58.92	61.9	56.91	48.0	0.8708	cow_na
P0CK30	G3N2W7	BHV1-COW	27.027	28.216	19.643	-32205.24414	58.92	61.9	53.57	60.0	0.8805	cow_na
P0CK30	F1MRG6	BHV1-COW	28.235	28.216	22.951	-34458.42578	58.92	61.9	63.11	48.0	0.9291	cow_na
P0CK30	F1MQC2	BHV1-COW	28.824	28.216	24.59	-36087.89062	58.92	61.9	59.84	44.0	0.9128	cow_na
P0CK30	E1BAZ7	BHV1-COW	26.14	28.216	16.071	-31671.33984	58.92	61.9	55.36	48.0	0.8839	cow_na
P0CK30	F1MNL2	BHV1-COW	25.74	28.216	16.522	-33945.28906	58.92	61.9	58.26	56.0	1.052	cow_na
P0CK30	G5E5H2	BHV1-COW	27.647	28.216	22.222	-33629.33594	58.92	61.9	56.41	40.0	0.8767	cow_na
P0CK30	G3N1R2	BHV1-COW	24.412	28.216	13.274	-33873.96875	58.92	61.9	46.9	32.0	0.8488	cow_na
P0CK30	G3MZH0	BHV1-COW	26.176	28.216	17.949	-34637.77344	58.92	61.9	53.85	40.0	0.9349	cow_na
P0CK30	E1BNF9	BHV1-COW	28.529	28.216	24.786	-34127.58594	58.92	61.9	57.26	40.0	0.8949	cow_na
P0CK30	F1MYF4	BHV1-COW	27.647	28.216	22.609	-34867.76953	58.92	61.9	55.65	40.0	0.8131	cow_na
P0CK30	G3N134	BHV1-COW	25.0	28.216	14.286	-34936.06641	58.92	61.9	50.42	24.0	0.8726	cow_na
P0CK30	E1BAC6	BHV1-COW	27.059	28.216	19.2	-36281.96484	58.92	61.9	65.6	56.0	1.0323	cow_na
P0CK30	F1MHA3	BHV1-COW	25.588	28.216	16.667	-35126.33594	58.92	61.9	49.12	32.0	0.8736	cow_na
